Strand,Pillar,Domain,Skill Area,Skill Set,Skill Subset,Skill Subset Annotation
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Analogical Inference and Application,Applying Analogies,Interpreting Complex Analogies,The ability to understand and explain the meaning of complex analogies and how their components relate. Example: Interpreting the analogy 'Time is a thief' to explain how time can take away moments and opportunities.
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Analogical Inference and Application,Evaluating Analogical Arguments,Evaluating Analogical Consistency,The skill of assessing the logical consistency and validity of analogical arguments. Example: Evaluating the analogy 'A teacher is to a student as a coach is to an athlete' for logical consistency.
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Analogical Inference and Application,Evaluating Analogical Arguments,Recognizing Flaws in Analogies,The ability to detect weaknesses or errors in reasoning within analogical arguments. Example: Identifying the flaw in the analogy 'Money is to happiness as food is to health' by examining the oversimplification.
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Analogical Inference and Application,Recognizing Analogies,Recognizing Analogical Relationships,The ability to recognize relationships between paired concepts within analogies. Example: Identifying the relationship in the analogy 'Tree is to forest as star is to galaxy.'
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Analogical Inference and Application,Recognizing Analogies,Understanding Literal vs. Figurative Analogies,The skill of distinguishing between analogies that are literal and those that are figurative. Example: Differentiating between the literal analogy 'A key is to a lock as a password is to a computer' and the figurative analogy 'Time is a thief.'
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Analogical Inference and Application,Utilizing Inferential Analogy Techniques,Inferring Relationships in Analogies,The skill of drawing logical connections and inferences between elements in an analogy. Example: Inferring the relationship in the analogy 'Heart is to body as engine is to car.'
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Analogical Inference and Application,Utilizing Inferential Analogy Techniques,Interpreting Idioms,The skill of understanding common idiomatic expressions and their figurative meanings. Example: Explaining the idiom 'Break the ice' as meaning to initiate conversation in a social setting.
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Analogical Inference and Application,Utilizing Inferential Analogy Techniques,Interpreting Metaphors,The ability to understand and explain the meaning and implications of metaphorical language. Example: Interpreting the metaphor 'The world is a stage' to explain how life can be seen as a performance.
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Comparative Analysis,Comparative Techniques,Analyzing Comparative Language,The ability to examine and interpret language used to make comparisons. Example: Analyzing the comparison 'He is as busy as a bee' to understand the implied meaning of being very active.
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Comparative Analysis,Comparative Techniques,Comparative Analysis Techniques,The ability to employ techniques to analyze and compare different elements effectively. Example: Using a Venn diagram to compare and contrast the characters of Hamlet and Macbeth.
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Comparative Analysis,Comparative Techniques,Evaluating Similarities and Differences,The skill of identifying and evaluating similarities and differences between concepts or objects. Example: Comparing the themes of love and sacrifice in 'Romeo and Juliet' and 'Wuthering Heights.'
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Comparative Analysis,Elements of Comparison,Evaluating Comparative Claims,The skill of assessing the validity and strength of comparative assertions. Example: Evaluating the claim 'Digital books are better than printed books' by examining the pros and cons of each format.
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Comparative Analysis,Elements of Comparison,Recognizing Comparison Points,The ability to recognize key points of comparison between different items. Example: Identifying comparison points between the themes of freedom in '1984' and 'Brave New World.'
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Intertextual Analysis,Comparing Media,Comparing Intertextual Connections,The ability to recognize and evaluate connections between texts and how they refer to or influence each other. Example: Evaluating how 'Pride and Prejudice' has influenced modern romance novels.
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Intertextual Analysis,Comparing Media,Comparing Media Forms,"The skill of analyzing and comparing different forms of media (e.g., text, film, art). film adaptations of 'To Kill a Mockingbird.' Example: Comparing the book 'The Great Gatsby' with its film adaptation to analyze differences in storytelling techniques."
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Intertextual Analysis,Comparing Media,Comparing Media Techniques,The ability to compare and contrast techniques used across various media. Example: Comparing the use of first-person narration in the novel 'The Catcher in the Rye' with the voice-over narration in its film adaptation.
Language Comprehension,Verbal Reasoning,Analogical and Comparative Reasoning,Intertextual Analysis,Comparing Media,Comparing Thematic Parallels,The skill of identifying and analyzing common themes across different texts or media. Example: Comparing the theme of dystopia in 'The Hunger Games' and 'Divergent.'
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Author's Craft and Style,Analyzing Author's Purpose,Analyzing Authorial Intent,The skill of understanding and explaining an author's purpose and motives behind a text. Example: Analyzing Orwell's motives in writing '1984' to understand his critique of totalitarianism.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Author's Craft and Style,Analyzing Author's Purpose,Analyzing Persuasive Techniques,"The ability to identify and evaluate techniques used by an author to persuade readers. Example: Identifying the use of ethos, pathos, and logos in Martin Luther King Jr.'s 'I Have a Dream' speech."
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Author's Craft and Style,Analyzing Author's Techniques,Analyzing Genre-Specific Techniques,The skill of understanding and evaluating techniques specific to different literary genres. Example: Analyzing the use of suspense in mystery novels to understand how it keeps readers engaged.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Author's Craft and Style,Analyzing Author's Techniques,Analyzing Literary Device Usage,The skill of analyzing how authors employ literary devices to achieve specific effects. Example: Analyzing how Fitzgerald uses symbolism in 'The Great Gatsby' to convey themes.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Author's Craft and Style,Analyzing Author's Techniques,Analyzing Narrative Techniques,The skill of analyzing narrative strategies and how they contribute to the overall story. Dalloway' to understand the characters' inner thoughts.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Author's Craft and Style,Analyzing Stylistic Choices,Analyzing Stylistic Choices,The ability to examine and interpret the stylistic elements chosen by an author. Eliot's 'The Waste Land' to understand its impact on the poem's flow.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Author's Craft and Style,Analyzing Stylistic Choices,Analyzing Stylistic Impact,The skill of understanding how stylistic choices affect the reader's perception and interpretation. Example: Analyzing how Faulkner's complex sentence structures affect the reader's perception of the narrative.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Applying Critical Thinking Techniques,Evaluating Arguments,"The ability to critically assess the validity, strength, and logical consistency of arguments. Example: Evaluating the strength of the arguments in an editorial article to determine its persuasiveness."
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Applying Critical Thinking Techniques,Recognizing Logical Fallacies,The skill of recognizing logical errors within arguments. Example: Identifying logical fallacies such as ad hominem or straw man in political debates to understand weaknesses in the arguments.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Conducting Logical and Rhetorical Analysis,Analyzing Rhetorical Strategies,The ability to evaluate the effectiveness and impact of rhetorical strategies used by an author. Example: Analyzing the emotional appeal used in public service announcements to understand its impact on the audience.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Conducting Logical and Rhetorical Analysis,Evaluating Logical Consistency,The ability to determine whether an argument or reasoning process is logically consistent. Example: Evaluating the logical consistency of an argument in a persuasive essay to determine its validity.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Conducting Logical and Rhetorical Analysis,Questioning Your Assumptions,The skill of examining and challenging one's own assumptions and biases during analysis. Example: Questioning your assumptions about a character's motivations to gain a deeper understanding of their actions.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Evaluating Bias and Source,Considering and Evaluating Different Viewpoints,The ability to assess and compare various perspectives on an issue. Example: Considering and evaluating different viewpoints on a social issue to gain a comprehensive understanding.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Evaluating Bias and Source,Differentiating Between Bias and Perspective,The skill of recognizing the difference between personal bias and legitimate differing perspectives. Example: Differentiating between personal bias and legitimate differing perspectives when analyzing a political debate.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Evaluating Bias and Source,Recognizing Personal Biases,The ability to recognize one's own biases and how they affect interpretation. Example: Identifying your own biases when reading a controversial text to understand how they influence your interpretation.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Evaluating Bias and Source,Recognizing Source Bias,The skill of identifying bias in the sources of information or arguments. Example: Recognizing bias in a corporate-funded study to understand its potential influence on the findings.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Evaluating Bias and Source,Understanding Bias,The skill of recognizing bias within texts and understanding how it influences content. Example: Recognizing bias in a news article to understand how it influences the presentation of information.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Questioning Texts,Analyzing Underlying Assumptions,The ability to identify and critique underlying assumptions in texts. Example: Analyzing the underlying assumptions in a persuasive essay to understand its foundational arguments.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Questioning Texts,Comparing Different Perspectives,The ability to analyze texts from multiple viewpoints. Example: Comparing different perspectives on a historical event to gain a more nuanced understanding.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Questioning Texts,Posing Thoughtful Questions About Text,The ability to formulate insightful questions to enhance text understanding. Example: Posing thoughtful questions about a text to deepen your understanding of its themes and characters.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Recognizing Power and Ideology,Recognizing Power Structures in Texts,Understanding how texts reflect and reinforce power structures. Example: Identifying power structures in a dystopian novel to understand how they influence the characters and plot.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Recognizing Power and Ideology,Understanding Representation and Marginalization,Analyzing how different groups are represented or marginalized in texts. Example: Understanding representation and marginalization in a novel to analyze its social and cultural implications.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Transformative Practices,Creating Counter-Narratives,Developing alternative perspectives and stories to challenge dominant narratives. Example: Creating counter-narratives to challenge dominant narratives in a historical text.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Transformative Practices,Engaging in Critical Discussions,Participating actively in discussions that critically analyze texts. Example: Engaging in critical discussions about a controversial novel to explore different interpretations.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Critical Literacy,Transformative Practices,Promoting Social Justice Through Literacy,Using literacy skills to advocate for social justice and equity. Example: Promoting social justice through literacy by analyzing texts that address social issues.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Text Structure Analysis,Analyzing Cohesion and Coherence,Evaluating Coherence,The skill of assessing the logical flow and clarity of ideas in a text. Example: Evaluating the coherence of an argumentative essay to determine how well the ideas are logically connected.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Text Structure Analysis,Analyzing Cohesion and Coherence,Recognizing Cohesive Devices,"The ability to recognize cohesive devices such as transitions, conjunctions, and pronouns that link ideas within and between paragraphs. Example: Identifying cohesive devices in an essay to understand how they link ideas."
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Text Structure Analysis,Analyzing Organizational Patterns,Evaluating Organizational Effectiveness,The skill of assessing how effectively a text's structure supports its purpose and enhances comprehension. Example: Evaluating the organizational effectiveness of a research paper to determine how well it supports its thesis.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Text Structure Analysis,Analyzing Organizational Patterns,Recognizing Text Structures,The ability to recognize different organizational patterns in texts. Example: Identifying text structures in an informational article to understand how it organizes information.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Text Structure Analysis,Analyzing Paragraph Structure,Evaluating Supporting Details,The skill of evaluating how well supporting details develop and support the main idea in a paragraph. Example: Evaluating supporting details in a paragraph to determine how well they support the topic sentence.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Text Structure Analysis,Analyzing Paragraph Structure,Recognizing Topic Sentences,The ability to identify the main idea or topic sentence in a paragraph. Example: Identifying the topic sentence in a paragraph to understand its main idea.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Text Structure Analysis,Analyzing Plot Elements,Evaluating Plot Progression,The ability to assess how effectively a plot develops and moves towards its resolution. Example: Evaluating the plot progression in 'Moby-Dick' to understand how it builds towards the climax.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Text Structure Analysis,Analyzing Plot Elements,Recognizing Plot Structure,The skill of recognizing and understanding the framework of a story's plot. Example: Identifying the plot structure of 'Romeo and Juliet' to understand its narrative framework.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Text Structure Analysis,Analyzing Sentence Structure,Evaluating Sentence Variety,The skill of assessing the variety and effectiveness of sentence structures in enhancing readability and interest. Example: Evaluating sentence variety in a text to determine how it enhances readability.
Language Comprehension,Verbal Reasoning,Analytical Reasoning,Text Structure Analysis,Analyzing Sentence Structure,Recognizing Sentence Types,"The ability to recognize different types of sentences (e.g., simple, compound, complex) and their functions within a text. Example: Identifying sentence types in a text to understand their functions."
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Cultural Context,Cultural Vocabulary Variation,Recognizing Age-Based Variations,"The ability to understand how vocabulary usage can vary based on the age of the speaker or audience. For example: Understanding that vocabulary can vary; older generations may use 'telephone,' while younger ones use 'phone.'"
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Cultural Context,Cultural Vocabulary Variation,Recognizing Class-Based Variations,"The skill of recognizing differences in vocabulary use based on social class, like 'sofa' versus 'couch.'"
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Cultural Context,Cultural Vocabulary Variation,Recognizing Gender-Based Variations,"The skill of identifying differences in vocabulary use based on gender, like 'actor' can be neutral or 'actress' for females.'"
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Cultural Context,Interpreting Cultural Significance,Analyzing Cultural Impact,The ability to evaluate the cultural significance and impact of a text. Example: Analyzing the cultural impact of 'Things Fall Apart' to understand its significance in post-colonial literature.
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Cultural Context,Interpreting Cultural Significance,Evaluating Cultural Relevance,The skill of assessing the relevance and importance of cultural references within a text. Example: Evaluating the cultural relevance of 'The Catcher in the Rye' to understand its impact on American literature.
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Cultural Context,Recognizing Cultural Norms,Recognizing Cultural References,The ability to recognize and interpret cultural references within a text. Example: Identifying cultural references in 'The Joy Luck Club' to understand the cultural context of the characters.
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Cultural Context,Recognizing Cultural Norms,Understanding Cultural Influences,The skill of understanding how cultural context influences the themes and characters in a text. Example: Understanding how cultural influences shape the themes and characters in 'The God of Small Things.'
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Cultural Context,Vocabulary in Social Contexts,Identifying Contexts for Formal/Informal Vocabulary,The ability to recognize when to use formal or informal vocabulary based on social context. For example: Recognizing when to use 'child' in formal writing versus 'kid' in informal conversation.
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Cultural Context,Vocabulary in Social Contexts,Switching Between Registers,The ability to shift vocabulary based on the context and audience. For example: Using 'establish' in formal communication and 'set up' in casual conversation.
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Historical Context,Analyzing the Impact of Historical Context,Evaluating Context Significance,The skill of assessing the importance of historical context in understanding a text. Example: Evaluating the significance of the historical context in '1984' to understand its themes and messages.
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Historical Context,Analyzing the Impact of Historical Context,Examining Historical Influence on Text,The ability to analyze how historical events and contexts influence a text. For example: Analyzing how WWII influences the narrative of 'The Book Thief.' Example: Examining the historical influence of WWII on the narrative of 'The Book Thief.'
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Historical Context,Linking Historical Context to Themes,Relating Historical Events to Themes,The ability to see connections between historical events and themes within a text. Example: Relating historical events to the themes in 'Heart of Darkness' to understand the critique of colonialism.
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Historical Context,Linking Historical Context to Themes,Understanding Thematic Impact,The skill of understanding how historical context affects the development and significance of themes. Example: Understanding the thematic impact of historical context in 'The Color Purple' to analyze its exploration of race and gender.
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Historical Context,Recognizing Historical References,Linking Events to the Text,The skill of connecting historical events to the themes and development of a text. Example: Linking historical events to the themes in 'The Grapes of Wrath' to understand the socio-economic context of the narrative.
Language Comprehension,Verbal Reasoning,Contextual Analysis,Understanding Historical Context,Recognizing Historical References,Recognizing Historical Events,The ability to identify historical events referenced within a text. Example: Recognizing historical events in 'A Tale of Two Cities' to understand the historical backdrop of the story.
Language Comprehension,Verbal Reasoning,Critical Thinking,Evaluative Judgment,Assessing Literary Quality,Evaluating Literary Merit,The ability to assess the quality and significance of literary works. Example: Evaluating the thematic depth and character development in 'Pride and Prejudice' to determine its literary merit.
Language Comprehension,Verbal Reasoning,Critical Thinking,Evaluative Judgment,Assessing Literary Quality,Evaluating Narrative Quality,The ability to assess the overall quality and effectiveness of a narrative. Example: Evaluating the narrative quality of 'Beloved' to understand its literary significance.
Language Comprehension,Verbal Reasoning,Critical Thinking,Evaluative Judgment,Critiquing Textual Effectiveness,Analyzing Textual Impact,The skill of understanding and evaluating the impact a text has on its audience. Example: Analyzing the impact of a political speech to understand its influence on public opinion.
Language Comprehension,Verbal Reasoning,Critical Thinking,Evaluative Judgment,Critiquing Textual Effectiveness,Assessing Text Effectiveness,The ability to evaluate how effectively a text communicates its intended message or purpose. Example: Assessing the effectiveness of a persuasive essay to determine how well it conveys its argument.
Language Comprehension,Verbal Reasoning,Critical Thinking,Meta-cognitive Reflection,Evaluating Personal Interpretation,Assessing Personal Insights,The ability to critically evaluate one's own interpretations and insights about a text. Example: Assessing your personal insights about a novel to understand how your perspective influences your interpretation.
Language Comprehension,Verbal Reasoning,Critical Thinking,Meta-cognitive Reflection,Evaluating Personal Interpretation,Critiquing Personal Understanding,The skill of examining and challenging one's own understanding and interpretations. Example: Critiquing your understanding of a complex poem to gain a deeper appreciation of its meaning.
Language Comprehension,Verbal Reasoning,Critical Thinking,Meta-cognitive Reflection,Reflecting on Reading Process,Evaluating Personal Reading,The ability to reflect on one's reading process and evaluate its effectiveness. Example: Evaluating your reading process to identify strategies that enhance comprehension.
Language Comprehension,Verbal Reasoning,Critical Thinking,Meta-cognitive Reflection,Reflecting on Reading Process,Understanding Reading Strategies,The skill of recognizing and using effective reading strategies to enhance comprehension. Example: Understanding and applying reading strategies such as skimming and scanning to improve reading efficiency.
Language Comprehension,Verbal Reasoning,Critical Thinking,Philosophical and Ethical Reasoning,Evaluating Moral Arguments,Analyzing Ethical Implications,The skill of understanding and evaluating the ethical dimensions of a text's arguments or themes. Example: Analyzing the ethical implications of the themes in 'The Road' to understand its moral message.
Language Comprehension,Verbal Reasoning,Critical Thinking,Philosophical and Ethical Reasoning,Evaluating Moral Arguments,Assessing Moral Positions,The ability to evaluate the validity and strength of moral arguments within a text. Example: Assessing the moral positions in 'Crime and Punishment' to understand the ethical dilemmas faced by the characters.
Language Comprehension,Verbal Reasoning,Critical Thinking,Philosophical and Ethical Reasoning,Recognizing Ethical Issues,Recognizing Moral Dilemmas,The ability to identify ethical issues and moral dilemmas presented in a text. Example: Recognizing the moral dilemmas in 'Lord of the Flies' to understand the characters' ethical conflicts.
Language Comprehension,Verbal Reasoning,Critical Thinking,Philosophical and Ethical Reasoning,Recognizing Ethical Issues,Understanding Ethical Arguments,The skill of comprehending and evaluating ethical arguments and positions within a text. Example: Understanding the ethical arguments in 'Brave New World' to analyze its critique of societal norms.
Language Comprehension,Verbal Reasoning,Critical Thinking,Philosophical and Ethical Reasoning,Recognizing Existential Themes,Evaluating Existential Questions,The ability to assess and understand existential themes and questions within a text. Example: Evaluating the existential questions in 'Waiting for Godot' to understand its philosophical implications.
Language Comprehension,Verbal Reasoning,Critical Thinking,Philosophical and Ethical Reasoning,Recognizing Existential Themes,Understanding Existential Elements,The skill of recognizing and interpreting existential elements in literature. Example: Understanding the existential elements in 'The Stranger' to analyze its exploration of absurdism.
Language Comprehension,Verbal Reasoning,Critical Thinking,Philosophical and Ethical Reasoning,Understanding Philosophical Implications,Analyzing Philosophical Messages,The ability to analyze and understand the philosophical ideas and messages conveyed by a text. Example: Analyzing the philosophical messages in 'The Republic' to understand its exploration of justice and morality.
Language Comprehension,Verbal Reasoning,Critical Thinking,Philosophical and Ethical Reasoning,Understanding Philosophical Implications,Evaluating Existential Impact,The skill of evaluating the impact of existential themes on the overall meaning of a text. Example: Evaluating the existential impact of themes in 'The Metamorphosis' to understand its exploration of identity and alienation.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Differentiating Literal and Figurative Language,Analyzing Symbolic Representations,Evaluating Metaphorical Meanings,The skill of analyzing and interpreting metaphorical language and meanings. Example: Evaluating the metaphorical meanings in 'The Road Not Taken' to understand its exploration of choices and consequences.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Differentiating Literal and Figurative Language,Analyzing Symbolic Representations,Interpreting Symbols,The ability to recognize and understand symbolic representations within a text. Example: Interpreting the symbols in 'The Scarlet Letter' to understand their significance in the narrative.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Differentiating Literal and Figurative Language,Interpreting Irony and Sarcasm,Detecting Sarcasm,The ability to recognize and understand sarcastic language and tones. Example: Detecting the sarcasm in 'A Modest Proposal' to understand its satirical critique of societal issues.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Differentiating Literal and Figurative Language,Interpreting Irony and Sarcasm,Evaluating Sarcastic Undertones,The skill of analyzing the role and effect of sarcasm within a text. Example: Evaluating the sarcastic undertones in 'Catcher in the Rye' to understand the protagonist's perspective.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Differentiating Literal and Figurative Language,Interpreting Irony and Sarcasm,Recognizing Ironic Statements,The ability to detect and understand irony in a text. Example: Recognizing the ironic statements in 'The Gift of the Magi' to understand the twist in the story.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Differentiating Literal and Figurative Language,Interpreting Irony and Sarcasm,Understanding Irony and Its Effect,The skill of comprehending the use and impact of irony on the meaning of a text. Example: Understanding the use of irony in 'Animal Farm' to analyze its critique of political systems.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Differentiating Literal and Figurative Language,Recognizing Figurative Expressions,Recognizing Metaphors and Similes,The ability to recognize and interpret common figurative expressions like metaphors and similes. Example: Identifying metaphors and similes in 'The Road Not Taken' by Robert Frost to understand their figurative meanings.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Differentiating Literal and Figurative Language,Recognizing Figurative Expressions,Understanding Symbolic Language,The skill of comprehending the deeper meanings conveyed through symbolic language. Example: Understanding the symbolic language in 'The Road' to analyze its themes of survival and hope.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Drawing Conclusions,Making Logical Inferences,Formulating Derivations,The skill of drawing logical conclusions based on given premises. Example: Formulating derivations from the premises in a scientific article to understand its conclusions.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Drawing Conclusions,Making Logical Inferences,Recognizing Premises,The ability to identify the basic premises that form the foundation of an argument or inference. Example: Identifying the premises in 'Blink' to understand the basis of Gladwell's arguments.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Evaluating Evidence,Assessing Evidence Relevance and Validity,Cross-checking Facts,The skill of verifying facts by comparing information from multiple sources. Example: Cross-checking facts in historical texts to ensure accuracy.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Evaluating Evidence,Assessing Evidence Relevance and Validity,Recognizing Credible Sources,The ability to determine the reliability and credibility of evidence and sources. Example: Identifying credible sources in a research paper to evaluate the validity of its findings.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Hypothesizing,Developing Testable Hypotheses,Formulating Hypotheses,The ability to develop testable hypotheses based on textual evidence. Example: Formulating hypotheses about character behavior in 'To Kill a Mockingbird' based on textual evidence.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Hypothesizing,Developing Testable Hypotheses,Validating Hypotheses,The skill of testing and confirming the validity of hypotheses. Example: Validating hypotheses about plot developments in a mystery novel by analyzing the text.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Hypothesizing,Predicting Outcomes,Drawing Predictions,The skill of making informed predictions based on textual evidence. Example: Drawing predictions about the resolution of conflicts in 'Pride and Prejudice' based on character interactions.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Hypothesizing,Predicting Outcomes,Recognizing Predictive Clues,The ability to recognize cues that help predict potential outcomes in a narrative. Example: Identifying predictive clues in 'The Great Gatsby' to anticipate future events.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Interpreting Tone and Mood,Analyzing Mood Setting,Evaluating Mood Creation,The ability to analyze how mood is established and developed in a text. Example: Evaluating mood creation in 'Wuthering Heights' to understand its gothic atmosphere.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Interpreting Tone and Mood,Analyzing Mood Setting,Interpreting Atmospheric Elements,The skill of recognizing and interpreting elements that contribute to the overall atmosphere or mood. Example: Interpreting atmospheric elements in 'The Fall of the House of Usher' to understand its eerie mood.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Interpreting Tone and Mood,Detecting Emotional Undertones,Recognizing Tone Shifts,The ability to identify changes in tone throughout a text. Example: Recognizing tone shifts in 'The Catcher in the Rye' to understand the protagonist's emotional journey.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Interpreting Tone and Mood,Detecting Emotional Undertones,Understanding Emotional Impact,The skill of comprehending the emotional effects that text elements have on the reader. Example: Understanding the emotional impact of the narrative in 'Of Mice and Men' to analyze its tragic elements.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Symbolic and Implicit Analysis,Inferring Implicit Information,Analyzing Hidden Meanings,The skill of interpreting subtle and hidden meanings within a text. Example: Analyzing hidden meanings in 'Gulliver's Travels' to understand its satirical critique of society.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Symbolic and Implicit Analysis,Inferring Implicit Information,Detecting Implicit Messages,The ability to recognize implied meanings that are not explicitly stated in a text. Alfred Prufrock' to understand its underlying themes.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Symbolic and Implicit Analysis,Interpreting Symbolic Meaning,Connecting Symbols to Themes,The skill of linking symbolic representations to the overarching themes of a text. Example: Connecting symbols to themes in 'Lord of the Flies' to analyze its exploration of human nature.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Symbolic and Implicit Analysis,Interpreting Symbolic Meaning,Recognizing Symbolic Representations,The ability to recognize symbols and understand their significance. Example: Identifying symbolic representations in 'The Great Gatsby' to understand their thematic significance.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Symbolic and Implicit Analysis,Interpreting Theme,Analyzing Theme Development,The skill of examining how themes are developed and their significance within the narrative. Example: Analyzing theme development in 'Frankenstein' to understand its exploration of isolation and monstrosity.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Symbolic and Implicit Analysis,Interpreting Theme,Categorizing Themes,The ability to identify and group different themes present in a text. Example: Categorizing themes in 'Les Misérables' to understand its exploration of social justice and redemption.
Language Comprehension,Verbal Reasoning,Inferential and Interpretive Reasoning,Symbolic and Implicit Analysis,Interpreting Theme,Tracing Theme Development,The ability to follow and understand how themes evolve throughout a text. Example: Tracing the development of themes in '1984' to understand its critique of totalitarianism.
